<root>
  <name value="Multiple Fill"/>
  <lot name="L1" capacity="200" count="0" weight="0.9" poi="A" order="1"/>
  <lot name="L2" capacity="200" count="0" weight="0.1" poi="A" order="2"/>
  <rate length="8H" arrival="10H" departure="10H"/>
  <rate length="1H" arrival="300H" departure="10H"/>
  <rate length="1H" arrival="10H" departure="300H"/>
  <rate length="1H" arrival="300H" departure="10H"/>
  <rate length="1H" arrival="10H" departure="300H"/>
  <rate length="1H" arrival="300H" departure="10H"/>
  <rate length="1H" arrival="10H" departure="300H"/>
  <rate length="1H" arrival="300H" departure="10H"/>
  <rate length="1H" arrival="10H" departure="300H"/>
  <rate length="8H" arrival="10H" departure="10H"/>
  <simulation monitored="0.1" search="0.0" arrival="0.9" departure="0.9" seed="1"/>
  <estimation error="0.1" interval="900.0" seed="None" search="1.0"/>
</root>

--------------------------
17844.79 P* L1 0.971826852597 0:0.098 20:0.105 40:0.122 60:0.128 80:0.125 100:0.114 120:0.099 140:0.081 160:0.063 180:0.065
18549.72 D L1
18549.72 P L1 1.0 0:0.051 20:0.092 40:0.117 60:0.130 80:0.133 100:0.126 120:0.113 140:0.096 160:0.078 180:0.062
18549.72 C L1 3
18549.72 C L2 0
18807.77 C L1 2
18807.77 C L2 0
19071.30 C L1 3
19071.30 C L2 0
19238.56 C L1 4
19238.56 C L2 0
19580.21 C L1 3
19580.21 C L2 0
19650.02 C L1 2
19650.02 C L2 0
19936.91 C L1 3
19936.91 C L2 0
20090.88 C L1 4
20090.88 C L2 0
20105.84 C L1 4
20105.84 C L2 1
20160.43 C L1 4
20160.43 C L2 0
20217.92 C L1 5
20217.92 C L2 0
20429.92 C L1 5
20429.92 C L2 1
20698.64 C L1 4
20698.64 C L2 1
20747.25 C L1 4
20747.25 C L2 0
21014.23 C L1 5
21014.23 C L2 0
21077.73 C L1 4
21077.73 C L2 0
21116.94 C L1 5
21116.94 C L2 0
21285.68 C L1 4
21285.68 C L2 0
21400.57 C L1 3
21400.57 C L2 0
21766.32 C L1 4
21766.32 C L2 0
21964.28 C L1 3
21964.28 C L2 0
22009.30 C L1 4
22009.30 C L2 0
22054.53 C L1 5
22054.53 C L2 0
22138.26 C L1 4
22138.26 C L2 0
22444.26 C L1 3
22444.26 C L2 0
22569.89 C L1 4
22569.89 C L2 0
22700.77 C L1 5
22700.77 C L2 0
22714.84 C L1 4
22714.84 C L2 0
22716.24 C L1 3
22716.24 C L2 0
22944.80 C L1 4
22944.80 C L2 0
23352.92 C L1 3
23352.92 C L2 0
23484.08 C L1 2
23484.08 C L2 0
23592.57 C L1 3
23592.57 C L2 0
23644.41 C L1 2
23644.41 C L2 0
23779.63 C L1 3
23779.63 C L2 0
24147.78 C L1 4
24147.78 C L2 0
24465.89 C L1 3
24465.89 C L2 0
24504.99 C L1 4
24504.99 C L2 0
24659.77 C L1 5
24659.77 C L2 0
24942.66 C L1 6
24942.66 C L2 0
25140.01 C L1 5
25140.01 C L2 0
19449.72 P* L1 0.987386769115 0:0.061 20:0.089 40:0.114 60:0.128 80:0.131 100:0.125 120:0.112 140:0.096 160:0.077 180:0.068
20349.72 P* L1 0.981255258932 0:0.069 20:0.086 40:0.112 60:0.125 80:0.129 100:0.123 120:0.111 140:0.095 160:0.076 180:0.073
21249.72 P* L1 0.977179311724 0:0.076 20:0.085 40:0.109 60:0.123 80:0.127 100:0.122 120:0.110 140:0.094 160:0.075 180:0.078
22149.72 P* L1 0.974105788691 0:0.083 20:0.084 40:0.107 60:0.121 80:0.125 100:0.120 120:0.109 140:0.094 160:0.075 180:0.083
23049.72 P* L1 0.971640769344 0:0.088 20:0.084 40:0.105 60:0.118 80:0.123 100:0.119 120:0.108 140:0.093 160:0.076 180:0.087
23949.72 P* L1 0.969591473593 0:0.093 20:0.084 40:0.103 60:0.116 80:0.121 100:0.117 120:0.107 140:0.093 160:0.076 180:0.091
24849.72 P* L1 0.967847535943 0:0.097 20:0.084 40:0.102 60:0.114 80:0.119 100:0.116 120:0.106 140:0.092 160:0.077 180:0.094
25169.25 A L1
25169.25 P L1 1.0 0:0.066 20:0.088 40:0.105 60:0.117 80:0.121 100:0.118 120:0.109 140:0.095 160:0.080 180:0.100
25169.25 C L1 6
25169.25 C L2 0
25337.73 C L1 5
25337.73 C L2 0
25672.12 C L1 4
25672.12 C L2 0
25784.95 C L1 3
25784.95 C L2 0
25950.26 C L1 2
25950.26 C L2 0
26220.86 C L1 3
26220.86 C L2 0
26331.37 C L1 2
26331.37 C L2 0
26559.53 C L1 3
26559.53 C L2 0
26069.25 P* L1 0.98366900447 0:0.072 20:0.086 40:0.103 60:0.115 80:0.120 100:0.117 120:0.108 140:0.095 160:0.081 180:0.103
26892.80 D L1
26892.8 P L1 1.0 0:0.038 20:0.075 40:0.100 60:0.117 80:0.126 100:0.127 120:0.122 140:0.111 160:0.097 180:0.087
26892.80 C L1 2
26892.80 C L2 0
27243.46 C L1 1
27243.46 C L2 0
27754.15 C L1 2
27754.15 C L2 0
27797.52 C L1 1
27797.52 C L2 0
28133.06 C L1 0
28133.06 C L2 0
28186.56 C L1 0
28186.56 C L2 0
28687.61 C L1 0
28687.61 C L2 0
27792.8 P* L1 0.990473290514 0:0.047 20:0.073 40:0.098 60:0.115 80:0.124 100:0.126 120:0.120 140:0.110 160:0.095 180:0.093
28692.8 P* L1 0.985522105704 0:0.054 20:0.071 40:0.096 60:0.113 80:0.122 100:0.124 120:0.119 140:0.109 160:0.093 180:0.098
28804.37 A L1
28804.37 P L1 1.0 0:0.042 20:0.072 40:0.096 60:0.113 80:0.123 100:0.125 120:0.120 140:0.110 160:0.094 180:0.105
28804.37 C L1 1
28804.37 C L2 0
28805.06 C L1 2
28805.06 C L2 0
28805.48 C L1 3
28805.48 C L2 0
28816.88 C L1 4
28816.88 C L2 0
28831.04 C L1 5
28831.04 C L2 0
28836.73 C L1 6
28836.73 C L2 0
28840.49 C L1 5
28840.49 C L2 0
28844.18 C L1 6
28844.18 C L2 0
28844.75 C L1 7
28844.75 C L2 0
28850.55 C L1 8
28850.55 C L2 0
28875.99 C L1 9
28875.99 C L2 0
28876.18 A L1
28876.18 P L1 1.0 0:0.038 20:0.071 40:0.096 60:0.113 80:0.123 100:0.125 120:0.120 140:0.110 160:0.094 180:0.111
28876.18 C L1 10
28876.18 C L2 0
28877.85 C L1 11
28877.85 C L2 0
28878.28 A L1
28878.28 P L1 1.0 0:0.035 20:0.070 40:0.095 60:0.112 80:0.122 100:0.124 120:0.120 140:0.110 160:0.095 180:0.116
28878.28 C L1 12
