<root>
  <name value="Slow Fill"/>
  <lot name="L1" capacity="200" count="0" weight="0.9" poi="A" order="1"/>
  <lot name="L2" capacity="200" count="0" weight="0.1" poi="A" order="2"/>
  <rate length="6H" arrival="10H" departure="10H"/>
  <rate length="6H" arrival="60H" departure="10H"/>
  <rate length="6H" arrival="10H" departure="60H"/>
  <rate length="6H" arrival="10H" departure="10H"/>
  <simulation monitored="0.1" search="0.0" arrival="0.9" departure="0.9" seed="2"/>
  <estimation error="0.2" interval="900.0" seed="None" search="1.0" monitored="0.0870719029117"/>
</root>

--------------------------
18292.56 P L1 1.0 0:0.036 20:0.066 40:0.090 60:0.109 80:0.121 100:0.127 120:0.127 140:0.121 160:0.108 180:0.094
18292.56 P L2 0.949336927221 0:0.135 20:0.089 40:0.090 60:0.091 80:0.092 100:0.092 120:0.091 140:0.090 160:0.089 180:0.139
18292.56 C L1 3
18292.56 C L2 0
18492.35 C L1 4
18492.35 C L2 0
18678.96 C L1 5
18678.96 C L2 0
18731.11 C L1 6
18731.11 C L2 0
18797.38 C L1 5
18797.38 C L2 0
18856.86 C L1 6
18856.86 C L2 0
18961.69 C L1 5
18961.69 C L2 0
19240.12 C L1 4
19240.12 C L2 0
19370.68 C L1 3
19370.68 C L2 0
19550.38 C L1 2
19550.38 C L2 0
19592.71 C L1 3
19592.71 C L2 0
19728.99 C L1 2
19728.99 C L2 0
19824.07 C L1 1
19824.07 C L2 0
19949.51 C L1 2
19949.51 C L2 0
19978.51 C L1 3
19978.51 C L2 0
20102.81 C L1 4
20102.81 C L2 0
19192.56 P* L1 0.98938968446 0:0.045 20:0.065 40:0.088 60:0.107 80:0.119 100:0.126 120:0.125 140:0.119 160:0.104 180:0.102
20092.56 P* L1 0.98413595726 0:0.053 20:0.064 40:0.087 60:0.105 80:0.118 100:0.124 120:0.123 140:0.116 160:0.101 180:0.110
19192.56 P* L2 0.94924108965 0:0.135 20:0.089 40:0.090 60:0.091 80:0.092 100:0.092 120:0.091 140:0.090 160:0.089 180:0.139
20092.56 P* L2 0.949153882041 0:0.135 20:0.089 40:0.090 60:0.091 80:0.092 100:0.092 120:0.091 140:0.090 160:0.089 180:0.140
20438.64 D L1
20438.64 P L1 1.0 0:0.040 20:0.066 40:0.090 60:0.109 80:0.122 100:0.129 120:0.129 140:0.121 160:0.106 180:0.087
20438.64 P L2 0.949074498226 0:0.135 20:0.089 40:0.090 60:0.091 80:0.092 100:0.092 120:0.091 140:0.090 160:0.090 180:0.140
20438.64 C L1 3
20438.64 C L2 0
20470.23 C L1 4
20470.23 C L2 0
20514.30 C L1 3
20514.30 C L2 0
20698.35 C L1 2
20698.35 C L2 0
21040.91 C L1 3
21040.91 C L2 0
21529.42 C L1 4
21529.42 C L2 0
21724.11 C L1 3
