<root>
  <name value="High Churn"/>
  <lot name="L1" capacity="200" count="200" weight="0.9" poi="A" order="1"/>
  <lot name="L2" capacity="200" count="200" weight="0.1" poi="A" order="1"/>
  <rate length="4H" arrival="200H" departure="150H"/>
  <rate length="4H" arrival="150H" departure="200H"/>
  <rate length="4H" arrival="200H" departure="150H"/>
  <rate length="4H" arrival="150H" departure="200H"/>
  <rate length="4H" arrival="200H" departure="150H"/>
  <rate length="4H" arrival="150H" departure="200H"/>
  <simulation monitored="0.2" search="0.0" arrival="0.9" departure="0.9" seed="7"/>
  <estimation error="0.1" interval="900.0" seed="None" search="1.0" monitored="0.189858619718"/>
</root>

--------------------------
1140.55 P L1 0.997759027024 0:0.030 20:0.070 40:0.101 60:0.116 80:0.120 100:0.121 120:0.121 140:0.118 160:0.107 180:0.095
1140.55 P L2 1.0 0:0.058 20:0.098 40:0.106 60:0.109 80:0.109 100:0.109 120:0.109 140:0.107 160:0.101 180:0.094
1140.55 C L1 200
1140.55 C L2 199
1144.55 A L2
1144.55 P L1 0.996424370151 0:0.033 20:0.070 40:0.101 60:0.115 80:0.120 100:0.121 120:0.120 140:0.117 160:0.106 180:0.097
1144.55 P L2 1.0 0:0.054 20:0.097 40:0.107 60:0.109 80:0.110 100:0.110 120:0.109 140:0.108 160:0.101 180:0.096
1144.55 C L1 200
1144.55 C L2 200
1146.58 C L1 200
1146.58 C L2 199
1152.23 C L1 200
1152.23 C L2 198
1155.90 D L2
1155.9 P L1 0.995433239907 0:0.035 20:0.069 40:0.100 60:0.115 80:0.120 100:0.121 120:0.120 140:0.117 160:0.105 180:0.098
1155.9 P L2 1.0 0:0.049 20:0.096 40:0.108 60:0.111 80:0.112 100:0.112 120:0.112 140:0.110 160:0.103 180:0.086
1155.90 C L1 200
1155.90 C L2 197
1172.96 C L1 200
1172.96 C L2 196
1175.41 C L1 200
1175.41 C L2 197
1186.20 C L1 200
1186.20 C L2 198
1219.21 C L1 200
1219.21 C L2 199
1227.68 C L1 200
1227.68 C L2 198
1239.65 C L1 200
1239.65 C L2 197
1241.68 C L1 200
1241.68 C L2 198
1247.73 C L1 200
1247.73 C L2 199
1253.06 C L1 199
1253.06 C L2 199
1260.61 C L1 200
1260.61 C L2 199
1304.82 D L2
1304.82 P L1 0.997589139659 0:0.026 20:0.059 40:0.092 60:0.111 80:0.118 100:0.120 120:0.120 140:0.118 160:0.109 180:0.126
1304.82 P L2 1.0 0:0.030 20:0.086 40:0.108 60:0.114 80:0.115 100:0.115 120:0.115 140:0.114 160:0.109 180:0.094
1304.82 C L1 200
1304.82 C L2 198
1311.46 C L1 200
1311.46 C L2 199
1313.91 C L1 200
1313.91 C L2 200
1319.20 C L1 199
1319.20 C L2 200
1338.76 D L1
1338.76 P L1 1.0 0:0.024 20:0.059 40:0.093 60:0.113 80:0.122 100:0.125 120:0.125 140:0.122 160:0.113 180:0.105
1338.76 P L2 0.998111582974 0:0.033 20:0.084 40:0.107 60:0.114 80:0.115 100:0.115 120:0.115 140:0.114 160:0.108 180:0.095
1338.76 C L1 198
1338.76 C L2 200
1381.27 C L1 199
1381.27 C L2 200
1395.50 D L1
1395.5 P L1 1.0 0:0.022 20:0.058 40:0.092 60:0.114 80:0.124 100:0.127 120:0.127 140:0.124 160:0.115 180:0.098
1395.5 P L2 0.996641482844 0:0.036 20:0.082 40:0.106 60:0.113 80:0.115 100:0.115 120:0.115 140:0.113 160:0.107 180:0.096
1395.50 C L1 198
1395.50 C L2 200
1405.54 C L1 197
1405.54 C L2 200
1425.78 C L1 197
1425.78 C L2 199
1438.60 C L1 197
1438.60 C L2 198
1440.13 D L1
1440.13 P L1 1.0 0:0.021 20:0.057 40:0.091 60:0.114 80:0.125 100:0.128 120:0.128 140:0.125 160:0.116 180:0.094
1440.13 P L2 0.99542537505 0:0.039 20:0.081 40:0.105 60:0.113 80:0.115 100:0.115 120:0.115 140:0.113 160:0.106 180:0.097
1440.13 C L1 196
1440.13 C L2 198
1463.97 C L1 196
1463.97 C L2 197
1470.83 C L1 195
1470.83 C L2 197
1482.93 A L1
1482.93 P L1 1.0 0:0.021 20:0.057 40:0.091 60:0.114 80:0.124 100:0.128 120:0.128 140:0.125 160:0.116 180:0.095
1482.93 P L2 0.99438318751 0:0.042 20:0.079 40:0.104 60:0.113 80:0.115 100:0.115 120:0.115 140:0.113 160:0.105 180:0.099
1482.93 C L1 196
1482.93 C L2 197
1516.15 D L1
1516.15 P L1 1.0 0:0.020 20:0.056 40:0.090 60:0.114 80:0.126 100:0.130 120:0.130 140:0.127 160:0.117 180:0.090
1516.15 P L2 0.993471671733 0:0.044 20:0.078 40:0.103 60:0.112 80:0.115 100:0.115 120:0.115 140:0.113 160:0.104 180:0.100
1516.15 C L1 195
1516.15 C L2 197
1523.62 C L1 196
1523.62 C L2 197
1528.76 C L1 197
1528.76 C L2 197
1549.39 C L1 197
1549.39 C L2 198
1575.44 A L1
1575.44 P L1 1.0 0:0.013 20:0.047 40:0.081 60:0.108 80:0.123 100:0.129 120:0.130 140:0.128 160:0.120 180:0.121
1575.44 P L2 0.992663097189 0:0.047 20:0.077 40:0.103 60:0.112 80:0.115 100:0.115 120:0.115 140:0.112 160:0.103 180:0.101
1575.44 C L1 198
1575.44 C L2 198
1578.91 C L1 198
1578.91 C L2 197
1580.21 C L1 199
1580.21 C L2 197
1582.19 C L1 198
1582.19 C L2 197
1582.35 A L1
1582.35 P L1 1.0 0:0.014 20:0.047 40:0.081 60:0.107 80:0.122 100:0.129 120:0.130 140:0.128 160:0.119 180:0.122
1582.35 P L2 0.991938033633 0:0.049 20:0.077 40:0.102 60:0.112 80:0.115 100:0.115 120:0.115 140:0.112 160:0.103 180:0.102
1582.35 C L1 199
1582.35 C L2 197
1593.46 C L1 199
1593.46 C L2 198
1593.98 C L1 198
1593.98 C L2 198
1605.07 C L1 199
1605.07 C L2 198
1623.25 C L1 198
1623.25 C L2 198
1625.27 C L1 199
1625.27 C L2 198
1635.09 C L1 200
1635.09 C L2 198
1659.28 C L1 200
1659.28 C L2 199
1685.47 C L1 199
1685.47 C L2 199
1690.15 A L2
1690.15 P L1 0.998146765582 0:0.018 20:0.047 40:0.080 60:0.106 80:0.121 100:0.128 120:0.130 140:0.127 160:0.118 180:0.125
1690.15 P L2 1.0 0:0.041 20:0.077 40:0.102 60:0.112 80:0.116 100:0.116 120:0.116 140:0.113 160:0.103 180:0.105
1690.15 C L1 199
1690.15 C L2 200
1693.86 D L2
1693.86 P L1 0.997691221861 0:0.020 20:0.047 40:0.080 60:0.105 80:0.121 100:0.128 120:0.130 140:0.127 160:0.117 180:0.126
1693.86 P L2 1.0 0:0.037 20:0.077 40:0.103 60:0.115 80:0.118 100:0.119 120:0.119 140:0.115 160:0.106 180:0.092
1693.86 C L1 199
